"","Date","Temperature","Celsius"
"234",1986-05-05,"ATMP",3.7
"235",1986-05-06,"ATMP",3.4
"236",1986-05-07,"ATMP",3.2
"237",1986-05-08,"ATMP",3.5
"238",1986-05-09,"ATMP",4
"239",1986-05-10,"ATMP",3.8
"240",1986-05-11,"ATMP",3.7
"241",1986-05-12,"ATMP",3.5
"242",1986-05-13,"ATMP",2.5
"243",1986-05-14,"ATMP",1.8
"244",1986-05-15,"ATMP",3.3
"245",1986-05-16,"ATMP",2.6
"246",1986-05-17,"ATMP",2
"247",1986-05-18,"ATMP",3
"248",1986-05-19,"ATMP",2.9
"249",1986-05-20,"ATMP",3.6
"250",1986-05-21,"ATMP",3.7
"251",1986-05-22,"ATMP",3.4
"252",1986-05-23,"ATMP",2.2
"253",1986-05-24,"ATMP",2.2
"254",1986-05-25,"ATMP",1.5
"255",1986-05-26,"ATMP",2
"256",1986-05-27,"ATMP",2.5
"257",1986-05-28,"ATMP",3.5
"258",1986-05-29,"ATMP",4
"259",1986-05-30,"ATMP",3.5
"260",1986-05-31,"ATMP",3.7
"261",1986-06-01,"ATMP",3.7
"262",1986-06-02,"ATMP",3.7
"263",1986-06-03,"ATMP",3.7
"264",1986-06-04,"ATMP",3.4
"265",1986-06-05,"ATMP",3.1
"266",1986-06-06,"ATMP",4
"267",1986-06-07,"ATMP",4.7
"268",1986-06-08,"ATMP",3.8
"269",1986-06-09,"ATMP",5
"270",1986-06-10,"ATMP",5.1
"271",1986-06-11,"ATMP",5.4
"272",1986-06-12,"ATMP",5.4
"273",1986-06-13,"ATMP",4.8
"274",1986-06-14,"ATMP",5.7
"275",1986-06-15,"ATMP",6.3
"276",1986-06-16,"ATMP",6.1
"277",1986-06-17,"ATMP",5.3
"278",1986-06-18,"ATMP",5.2
"279",1986-06-19,"ATMP",5.4
"280",1986-06-20,"ATMP",5.8
"281",1986-06-21,"ATMP",5.2
"282",1986-06-22,"ATMP",5.5
"283",1986-06-23,"ATMP",6
"284",1986-06-24,"ATMP",6.2
"285",1986-06-25,"ATMP",6.5
"286",1986-06-26,"ATMP",5.9
"287",1986-06-27,"ATMP",5.3
"288",1986-06-28,"ATMP",6.8
"289",1986-06-29,"ATMP",6.3
"290",1986-06-30,"ATMP",6.4
"291",1986-07-01,"ATMP",6.2
"292",1986-07-02,"ATMP",6.1
"293",1986-07-03,"ATMP",7.8
"294",1986-07-04,"ATMP",7.2
"295",1986-07-05,"ATMP",6.8
"296",1986-07-06,"ATMP",7.1
"297",1986-07-07,"ATMP",6.9
"298",1986-07-08,"ATMP",7.3
"299",1986-07-09,"ATMP",7.2
"300",1986-07-10,"ATMP",6.8
"301",1986-07-11,"ATMP",7.8
"302",1986-07-12,"ATMP",8.1
"303",1986-07-13,"ATMP",6.1
"304",1986-07-14,"ATMP",7.5
"305",1986-07-15,"ATMP",7.9
"306",1986-07-16,"ATMP",7.8
"307",1986-07-17,"ATMP",8.3
"308",1986-07-18,"ATMP",9.4
"309",1986-07-19,"ATMP",8.1
"310",1986-07-20,"ATMP",7.6
"311",1986-07-21,"ATMP",7.8
"312",1986-07-22,"ATMP",6.7
